,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOH,Anthony Davis\davisan02,Kentucky,8,528,18239,12677,5483,1182,.515,.319,.802,34.5,24.0,10.4,2.2,83.1,.219,6.3,38.1
2,2,CHA,Michael Kidd-Gilchrist\kiddgmi01,Kentucky,8,446,10978,3750,2420,515,.474,.272,.715,24.6,8.4,5.4,1.2,21.0,.092,-1.8,0.6
3,3,WAS,Bradley Beal\bealbr01,Florida,8,545,18832,11425,2169,2171,.452,.380,.807,34.6,21.0,4.0,4.0,41.5,.106,1.6,17.0
4,4,CLE,Dion Waiters\waitedi01,Syracuse,8,419,11835,5505,1108,1163,.412,.346,.694,28.2,13.1,2.6,2.8,8.8,.036,-2.1,-0.4
5,5,SAC,Thomas Robinson\robinth01,Kansas,5,313,4204,1528,1507,190,.470,.000,.505,13.4,4.9,4.8,0.6,4.6,.053,-3.5,-1.6
6,6,POR,Damian Lillard\lillada01,Weber State,8,615,22381,14887,2573,4009,.437,.373,.889,36.4,24.2,4.2,6.5,81.9,.176,4.7,37.8
7,7,GSW,Harrison Barnes\barneha02,UNC,8,612,19074,8368,3000,989,.448,.375,.796,31.2,13.7,4.9,1.6,34.3,.086,-1.0,4.5
8,8,TOR,Terrence Ross\rosste01,Washington,8,561,13831,6179,1588,617,.420,.370,.828,24.7,11.0,2.8,1.1,22.2,.077,-0.5,5.2
9,9,DET,Andre Drummond\drumman01,UConn,8,599,18590,8671,8288,778,.542,.146,.461,31.0,14.5,13.8,1.3,60.6,.156,1.5,16.3
10,10,NOH,Austin Rivers\riverau01,Duke,8,552,13517,5053,1163,1267,.418,.348,.644,24.5,9.2,2.1,2.3,11.5,.041,-3.1,-3.6
11,11,POR,Meyers Leonard\leoname01,Illinois,8,444,7129,2492,1730,393,.482,.390,.811,16.1,5.6,3.9,0.9,15.5,.104,-1.4,1.1
12,12,HOU,Jeremy Lamb\lambje01,UConn,8,481,10196,5032,1788,770,.444,.339,.851,21.2,10.5,3.7,1.6,23.4,.110,0.7,7.0
13,13,PHO,Kendall Marshall\marshke01,UNC,4,160,3083,802,253,779,.399,.370,.611,19.3,5.0,1.6,4.9,1.0,.015,-3.5,-1.1
14,14,MIL,John Henson\hensojo01,UNC,8,445,8752,3383,2368,496,.540,.250,.568,19.7,7.6,5.3,1.1,20.7,.113,-0.4,3.4
15,15,PHI,Maurice Harkless\harklma01,St. John's,8,537,12384,3848,1997,505,.478,.325,.612,23.1,7.2,3.7,0.9,21.9,.085,-0.5,4.7
16,16,HOU,Royce White\whitero03,Iowa State,1,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.121,-16.9,0.0
17,17,DAL,Tyler Zeller\zellety01,UNC,8,414,7254,2873,1820,367,.508,.286,.764,17.5,6.9,4.4,0.9,17.1,.113,-2.0,0.0
18,18,HOU,Terrence Jones\joneste01,Kentucky,6,234,5562,2431,1334,238,.501,.297,.621,23.8,10.4,5.7,1.0,14.7,.127,0.5,3.6
19,19,ORL,Andrew Nicholson\nichoan01,St. Bonaventure,5,285,4080,1700,857,126,.467,.321,.773,14.3,6.0,3.0,0.4,3.8,.045,-3.6,-1.6
20,20,DEN,Evan Fournier\fournev01,,8,523,14858,7378,1433,1360,.449,.375,.807,28.4,14.1,2.7,2.6,24.0,.078,-1.1,3.2
21,21,BOS,Jared Sullinger\sullija01,Ohio State,5,269,6532,2893,2006,477,.436,.272,.723,24.3,10.8,7.5,1.8,15.3,.113,-0.4,2.7
22,22,BOS,Fab Melo\melofa01,Syracuse,1,6,36,7,3,0,.500,,.250,6.0,1.2,0.5,0.0,0.0,.021,-7.6,-0.1
23,23,ATL,John Jenkins\jenkijo01,Vanderbilt,6,171,2183,855,250,138,.441,.367,.847,12.8,5.0,1.5,0.8,3.0,.065,-1.9,0.1
24,24,CLE,Jared Cunningham\cunnija01,Oregon State,4,84,605,197,56,39,.347,.306,.674,7.2,2.3,0.7,0.5,0.2,.017,-5.7,-0.6
25,25,MEM,Tony Wroten\wroteto01,Washington,4,145,3076,1604,363,437,.413,.231,.647,21.2,11.1,2.5,3.0,-1.3,-.021,-3.4,-1.1
