,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Anthony Bennett\bennean01,UNLV,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-4.8,-1.3
2,2,ORL,Victor Oladipo\oladivi01,Indiana,7,421,13888,7303,1934,1645,.441,.350,.794,33.0,17.3,4.6,3.9,24.3,.084,1.1,10.8
3,3,WAS,Otto Porter\porteot01,Georgetown,7,413,11078,4550,2037,618,.482,.404,.789,26.8,11.0,4.9,1.5,29.9,.129,1.7,10.4
4,4,CHA,Cody Zeller\zelleco01,Indiana,7,419,9613,3611,2496,583,.513,.248,.731,22.9,8.6,6.0,1.4,27.7,.138,-0.5,3.7
5,5,PHO,Alex Len\lenal01,Maryland,7,467,9170,3713,2920,395,.495,.333,.690,19.6,8.0,6.3,0.8,18.0,.094,-2.0,-0.1
6,6,NOH,Nerlens Noel\noelne01,Kentucky,6,361,7977,2894,2240,422,.543,.286,.648,22.1,8.0,6.2,1.2,21.6,.130,0.9,5.9
7,7,SAC,Ben McLemore\mclembe01,Kansas,7,439,10344,3954,1066,465,.421,.366,.779,23.6,9.0,2.4,1.1,8.0,.037,-3.0,-2.5
8,8,DET,Kentavious Caldwell-Pope\caldwke01,Georgia,7,539,15743,6240,1708,878,.418,.349,.797,29.2,11.6,3.2,1.6,27.6,.084,-0.7,5.0
9,9,MIN,Trey Burke\burketr01,Michigan,7,394,9049,4167,791,1384,.410,.345,.800,23.0,10.6,2.0,3.5,11.6,.061,-1.1,2.0
10,10,POR,CJ McCollum\mccolcj01,Lehigh,7,481,14879,8884,1587,1506,.454,.397,.827,30.9,18.5,3.3,3.1,32.0,.103,1.0,11.1
11,11,PHI,Michael Carter-Williams\cartemi01,Syracuse,7,360,9098,3749,1574,1572,.402,.256,.713,25.3,10.4,4.4,4.4,7.1,.037,-0.9,2.5
12,12,OKC,Steven Adams\adamsst01,Pitt,7,530,14207,5191,4029,615,.589,.100,.557,26.8,9.8,7.6,1.2,45.2,.153,0.4,8.6
13,13,DAL,Kelly Olynyk\olynyke01,Gonzaga,7,500,10647,4836,2421,934,.476,.373,.775,21.3,9.7,4.8,1.9,28.6,.129,0.8,7.5
14,14,UTA,Shabazz Muhammad\muhamsh01,UCLA,5,278,4772,2504,770,151,.473,.319,.751,17.2,9.0,2.8,0.5,8.5,.085,-2.0,0.0
15,15,MIL,Giannis Antetokounmpo\antetgi01,,7,528,17137,10602,4700,2275,.526,.284,.722,32.5,20.1,8.9,4.3,64.4,.180,5.0,30.3
16,16,BOS,Lucas Nogueira\noguelu01,,4,141,1754,446,388,72,.632,.265,.640,12.4,3.2,2.8,0.5,6.0,.165,2.3,1.9
17,17,ATL,Dennis Schröder\schrode01,,7,496,12654,6998,1404,2260,.436,.337,.828,25.5,14.1,2.8,4.6,16.7,.063,-1.1,2.9
18,18,ATL,Shane Larkin\larkish01,Miami (FL),4,256,4880,1399,490,737,.422,.336,.777,19.1,5.5,1.9,2.9,4.4,.044,-2.4,-0.6
19,19,CLE,Sergey Karasev\karasse01,,3,95,1110,287,140,87,.395,.282,.842,11.7,3.0,1.5,0.9,0.8,.036,-3.4,-0.4
20,20,CHI,Tony Snell\snellto01,New Mexico,7,501,11278,3236,1156,582,.428,.385,.838,22.5,6.5,2.3,1.2,16.1,.068,-2.0,0.0
21,21,UTA,Gorgui Dieng\dienggo01,Louisville,7,515,11344,4058,3166,702,.500,.342,.788,22.0,7.9,6.1,1.4,27.4,.116,0.2,6.2
22,22,BRK,Mason Plumlee\plumlma01,Duke,7,532,11477,4426,3294,1183,.574,.063,.562,21.6,8.3,6.2,2.2,34.3,.144,1.3,9.7
23,23,IND,Solomon Hill\hillso01,Arizona,7,364,8000,2128,1162,575,.395,.336,.801,22.0,5.8,3.2,1.6,10.7,.064,-2.0,-0.1
24,24,NYK,Tim Hardaway\hardati02,Michigan,7,474,12607,6388,1265,877,.421,.353,.816,26.6,13.5,2.7,1.9,19.5,.074,-1.0,3.1
25,25,LAC,Reggie Bullock\bullore01,UNC,7,301,5924,2090,631,342,.430,.385,.826,19.7,6.9,2.1,1.1,10.3,.083,-0.8,1.8
26,26,MIN,Andre Roberson\roberan03,Colorado,6,302,6738,1376,1215,261,.477,.255,.468,22.3,4.6,4.0,0.9,12.7,.090,-0.6,2.4
27,27,DEN,Rudy Gobert\goberru01,,7,474,13994,5550,5191,646,.640,.000,.631,29.5,11.7,11.0,1.4,63.6,.218,3.8,20.4
28,28,SAS,Livio Jean-Charles\jeancli01,,,,,,,,,,,,,,,,,,
29,29,OKC,Archie Goodwin\goodwar01,Kentucky,4,165,2396,1040,331,206,.429,.236,.700,14.5,6.3,2.0,1.2,1.1,.022,-3.0,-0.6
30,30,PHO,Nemanja Nedović\nedovne01,,1,24,142,26,15,13,.205,.167,.875,5.9,1.1,0.6,0.5,-0.4,-.132,-10.0,-0.3
31,31,CLE,Allen Crabbe\crabbal01,California,7,381,9125,3453,1073,434,.425,.387,.831,24.0,9.1,2.8,1.1,13.7,.072,-1.6,0.9
32,32,OKC,Álex Abrines\abrinal01,,3,174,2777,924,248,88,.387,.368,.880,16.0,5.3,1.4,0.5,5.0,.086,-1.9,0.1
33,33,CLE,Carrick Felix\felixca01,Arizona State,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057,-3.4,0.0
34,34,HOU,Isaiah Canaan\canaais01,Murray State,6,235,4799,1913,438,454,.371,.351,.836,20.4,8.1,1.9,1.9,4.3,.043,-2.4,-0.5
35,35,PHI,Glen Rice\ricegl02,Georgia Tech,2,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-.065,-6.6,-0.2
36,36,SAC,Ray McCallum\mccalra01,Detroit Mercy,3,154,2808,920,306,368,.408,.335,.711,18.2,6.0,2.0,2.4,2.1,.035,-2.6,-0.4
37,37,DET,Tony Mitchell\mitchto02,University of North Texas,1,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151,0.4,0.0
38,38,WAS,Nate Wolters\woltena01,South Dakota State,3,84,1575,461,185,209,.423,.261,.635,18.8,5.5,2.2,2.5,0.9,.028,-2.6,-0.2
39,39,POR,Jeff Withey\witheje01,Kansas,5,206,2072,666,518,64,.525,.143,.716,10.1,3.2,2.5,0.3,6.8,.157,0.5,1.3
40,40,POR,Grant Jerrett\jerregr01,Arizona,1,8,51,16,9,3,.269,.067,1.000,6.4,2.0,1.1,0.4,-0.1,-.128,-10.8,-0.1
41,41,MEM,Jamaal Franklin\frankja01,San Diego State,2,24,174,42,25,9,.415,.462,1.000,7.3,1.8,1.0,0.4,0.0,-.006,-5.9,-0.2
42,42,PHI,Pierre Jackson\jackspi01,Baylor,1,8,84,35,9,19,.333,.273,.857,10.5,4.4,1.1,2.4,0.0,.021,-4.4,-0.1
43,43,MIL,Ricky Ledo\ledori01,Providence,2,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-.096,-7.6,-0.4
44,44,DAL,Mike Muscala\muscami01,Bucknell,7,354,5457,1983,1110,328,.460,.368,.839,15.4,5.6,3.1,0.9,13.2,.116,-0.2,2.4
45,45,POR,Marko Todorović\todorma01,,,,,,,,,,,,,,,,,,
