,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz\fultzma01,Washington,3,105,2676,1125,351,481,.452,.267,.677,25.5,10.7,3.3,4.6,3.2,.058,-2.1,0.0
2,2,LAL,Lonzo Ball\balllo01,UCLA,3,162,5228,1738,994,1069,.390,.341,.487,32.3,10.7,6.1,6.6,6.0,.055,0.5,3.3
3,3,BOS,Jayson Tatum\tatumja01,Duke,3,225,7158,3902,1339,496,.457,.401,.829,31.8,17.3,6.0,2.2,18.9,.127,1.6,6.5
4,4,PHO,Josh Jackson\jacksjo02,Kansas,3,178,4328,2120,764,337,.417,.298,.655,24.3,11.9,4.3,1.9,-1.8,-.020,-4.0,-2.2
5,5,SAC,De'Aaron Fox\foxde01,Kentucky,3,205,6206,3320,704,1258,.451,.328,.718,30.3,16.2,3.4,6.1,9.1,.070,-0.3,2.7
6,6,ORL,Jonathan Isaac\isaacjo01,Florida State,3,136,3512,1269,741,146,.435,.330,.797,25.8,9.3,5.4,1.1,6.7,.091,0.2,2.0
7,7,MIN,Lauri Markkanen\markkla01,Arizona,3,170,5194,2744,1291,228,.430,.356,.848,30.6,16.1,7.6,1.3,8.7,.080,-0.3,2.2
8,8,NYK,Frank Ntilikina\ntilila01,,3,178,3797,1066,385,543,.366,.311,.783,21.3,6.0,2.2,3.1,-0.8,-.011,-4.7,-2.5
9,9,DAL,Dennis Smith\smithde03,NC State,3,156,4094,1957,493,708,.400,.314,.647,26.2,12.5,3.2,4.5,-1.6,-.018,-2.7,-0.7
10,10,SAC,Zach Collins\colliza01,Gonzaga,3,154,2691,881,614,139,.444,.324,.722,17.5,5.7,4.0,0.9,3.9,.069,-2.6,-0.4
11,11,CHO,Malik Monk\monkma01,Kentucky,3,191,3281,1638,360,322,.395,.322,.850,17.2,8.6,1.9,1.7,1.0,.015,-2.9,-0.7
12,12,DET,Luke Kennard\kennalu01,Duke,3,164,3822,1613,457,353,.441,.402,.863,23.3,9.8,2.8,2.2,7.0,.088,-0.8,1.2
13,13,DEN,Donovan Mitchell\mitchdo01,Louisville,3,225,7600,5100,916,907,.439,.355,.824,33.8,22.7,4.1,4.0,15.7,.099,1.5,6.7
14,14,MIA,Bam Adebayo\adebaba01,Kentucky,3,223,5698,2352,1713,653,.553,.139,.710,25.6,10.5,7.7,2.9,19.5,.164,2.0,5.7
15,15,POR,Justin Jackson\jacksju01,UNC,3,214,4165,1396,553,222,.431,.324,.788,19.5,6.5,2.6,1.0,5.0,.058,-2.7,-0.8
16,16,CHI,Justin Patton\pattoju01,Creighton,3,9,49,16,11,5,.368,.167,.500,5.4,1.8,1.2,0.6,0.0,.015,-5.5,0.0
17,17,MIL,D.J. Wilson\wilsodj01,Michigan,3,107,1316,434,324,80,.414,.322,.567,12.3,4.1,3.0,0.7,2.1,.078,-2.7,-0.2
18,18,IND,T.J. Leaf\leaftj01,UCLA,3,139,1203,465,278,42,.491,.341,.571,8.7,3.3,2.0,0.3,2.7,.107,-1.8,0.1
19,19,ATL,John Collins\collijo01,Wake Forest,3,176,4977,2850,1552,279,.571,.369,.757,28.3,16.2,8.8,1.6,16.4,.158,1.1,3.9
20,20,POR,Harry Giles\gilesha01,Duke,2,104,1487,724,410,145,.524,.000,.686,14.3,7.0,3.9,1.4,2.5,.081,-2.2,-0.1
21,21,OKC,Terrance Ferguson\fergute01,,3,191,3951,922,262,142,.406,.337,.753,20.7,4.8,1.4,0.7,4.6,.056,-3.9,-1.9
22,22,BRK,Jarrett Allen\allenja01,Texas,3,222,5389,2235,1731,269,.609,.167,.694,24.3,10.1,7.8,1.2,20.0,.178,1.2,4.4
23,23,TOR,OG Anunoby\anunoog01,Indiana,3,210,4899,1640,745,210,.480,.365,.650,23.3,7.8,3.5,1.0,10.7,.105,-0.3,2.1
24,24,UTA,Tyler Lydon\lydonty01,Syracuse,2,26,96,23,18,6,.500,.400,.333,3.7,0.9,0.7,0.2,0.2,.084,-4.3,-0.1
25,25,ORL,Anžejs Pasečņiks\pasecan01,,1,27,437,156,107,18,.526,.000,.586,16.2,5.8,4.0,0.7,0.5,.054,-5.6,-0.4
26,26,POR,Caleb Swanigan\swanica01,Purdue,3,75,655,169,218,56,.438,.118,.614,8.7,2.3,2.9,0.7,-0.2,-.015,-6.2,-0.7
27,27,BRK,Kyle Kuzma\kuzmaky01,Utah,3,208,6241,3332,1138,399,.449,.331,.732,30.0,16.0,5.5,1.9,9.0,.069,-1.4,0.9
28,28,LAL,Tony Bradley\bradlto01,UNC,3,70,728,310,293,25,.634,.750,.660,10.4,4.4,4.2,0.4,3.4,.222,0.6,0.5
29,29,SAS,Derrick White\whitede01,Colorado,3,152,3544,1482,496,513,.469,.364,.816,23.3,9.8,3.3,3.4,8.3,.112,1.1,2.8
30,30,UTA,Josh Hart\hartjo01,Villanova,3,195,4931,1677,936,281,.430,.353,.713,25.3,8.6,4.8,1.4,8.6,.084,-0.7,1.6
31,31,CHO,Frank Jackson\jacksfr01,Duke,2,120,1966,866,217,130,.422,.319,.743,16.4,7.2,1.8,1.1,0.6,.015,-5.0,-1.5
32,32,PHO,Davon Reed\reedda01,Miami (FL),2,31,289,75,45,16,.307,.310,.667,9.3,2.4,1.5,0.5,-0.2,-.039,-6.3,-0.3
33,33,ORL,Wesley Iwundu\iwundwe01,Kansas State,3,182,3206,868,452,190,.418,.319,.794,17.6,4.8,2.5,1.0,4.2,.063,-3.4,-1.1
34,34,SAC,Frank Mason\masonfr01,Kansas,3,99,1537,670,192,260,.397,.298,.757,15.5,6.8,1.9,2.6,1.2,.038,-2.4,-0.1
35,35,ORL,Ivan Rabb\rabbiv01,California,2,85,1237,485,364,86,.555,.200,.743,14.6,5.7,4.3,1.0,3.2,.125,-1.7,0.1
36,36,PHI,Jonah Bolden\boldejo01,,2,51,686,217,174,40,.486,.340,.484,13.5,4.3,3.4,0.8,1.4,.098,-1.3,0.1
37,37,BOS,Semi Ojeleye\ojelese01,SMU,3,198,2755,617,392,80,.391,.340,.688,13.9,3.1,2.0,0.4,3.7,.065,-3.4,-1.0
38,38,CHI,Jordan Bell\belljo01,Oregon,3,154,1853,578,472,194,.563,.222,.638,12.0,3.8,3.1,1.3,4.9,.126,0.5,1.2
39,39,PHI,Jawun Evans\evansja01,Oklahoma State,2,56,843,237,96,110,.345,.263,.776,15.1,4.2,1.7,2.0,-0.4,-.022,-5.4,-0.7
40,40,NOP,Dwayne Bacon\bacondw01,Florida State,3,135,2159,715,313,137,.403,.345,.718,16.0,5.3,2.3,1.0,0.3,.007,-5.0,-1.6
41,41,ATL,Tyler Dorsey\dorsety01,Oregon,2,104,1672,701,243,135,.389,.350,.669,16.1,6.7,2.3,1.3,1.0,.030,-3.1,-0.5
42,42,UTA,Thomas Bryant\bryanth01,Indiana,3,133,2715,1389,802,181,.595,.355,.756,20.4,10.4,6.0,1.4,9.6,.169,1.9,2.7
43,43,HOU,Isaiah Hartenstein\harteis01,,2,51,487,160,137,33,.593,.182,.714,9.5,3.1,2.7,0.6,1.5,.150,-1.6,0.1
44,44,NYK,Damyean Dotson\dotsoda01,Oregon,3,165,3314,1282,437,223,.419,.361,.721,20.1,7.8,2.6,1.4,3.1,.044,-2.2,-0.2
45,45,HOU,Dillon Brooks\brookdi01,Oregon,3,173,4792,2214,531,301,.420,.358,.777,27.7,12.8,3.1,1.7,2.4,.024,-4.2,-2.7
46,46,PHI,Sterling Brown\brownst02,SMU,3,164,2577,855,510,160,.417,.345,.774,15.7,5.2,3.1,1.0,3.9,.073,-2.1,-0.1
47,47,IND,Ike Anigbogu\anigbik01,UCLA,2,14,36,13,12,1,.333,,.833,2.6,0.9,0.9,0.1,0.0,.057,-1.1,0.0
48,48,MIL,Sindarius Thornwell\thornsi01,South Carolina,3,139,1504,360,188,90,.420,.350,.683,10.8,2.6,1.4,0.6,1.1,.035,-2.8,-0.3
49,49,DEN,Vlatko Čančar\cancavl01,,1,14,45,17,10,3,.400,.167,1.000,3.2,1.2,0.7,0.2,0.1,.062,-4.6,0.0
50,50,PHI,Mathias Lessort\lessoma01,,,,,,,,,,,,,,,,,,
51,51,DEN,Monte Morris\morrimo01,Iowa State,3,158,3631,1521,333,559,.479,.398,.826,23.0,9.6,2.1,3.5,10.2,.135,0.8,2.6
52,52,NOP,Edmond Sumner\sumneed01,Xavier,3,55,659,220,71,65,.406,.263,.585,12.0,4.0,1.3,1.2,0.5,.040,-3.7,-0.3
53,53,BOS,Kadeem Allen\allenka01,Arizona,3,47,640,258,71,109,.435,.349,.757,13.6,5.5,1.5,2.3,1.0,.075,-1.0,0.2
54,54,PHO,Alec Peters\peteral01,Valparaiso,1,20,225,82,37,12,.378,.310,.800,11.3,4.1,1.9,0.6,0.3,.055,-2.8,0.0
55,55,UTA,Nigel Williams-Goss\willini01,Gonzaga,1,10,50,14,6,6,.313,.286,1.000,5.0,1.4,0.6,0.6,0.0,.017,-3.9,0.0
56,56,BOS,Jabari Bird\birdja01,California,1,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0
57,57,BRK,Aleksandar Vezenkov\vezenal01,,,,,,,,,,,,,,,,,,
58,58,NYK,Ognjen Jaramaz\jaramog01,,,,,,,,,,,,,,,,,,
59,59,SAS,Jaron Blossomgame\blossja01,Clemson,1,27,439,114,98,13,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,.030,-3.8,-0.2
60,60,ATL,Alpha Kaba\kabaal01,,,,,,,,,,,,,,,,,,
