,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,POR,Greg Oden\odengr01,Ohio State,3,105,2028,840,656,51,.574,,.658,19.3,8.0,6.2,0.5,7.3,.174,-0.4,0.8
2,2,SEA,Kevin Durant\duranke01,Texas,12,849,31305,22940,5992,3486,.493,.381,.883,36.9,27.0,7.1,4.1,141.7,.217,6.7,69.0
3,3,ATL,Al Horford\horfoal01,Florida,13,853,27810,11890,7053,2818,.520,.364,.754,32.6,13.9,8.3,3.3,91.1,.157,2.8,33.7
4,4,MEM,Mike Conley\conlemi01,Ohio State,13,835,27063,12408,2478,4717,.439,.375,.819,32.4,14.9,3.0,5.6,73.9,.131,2.3,29.5
5,5,BOS,Jeff Green\greenje02,Georgetown,12,908,26779,11773,4008,1421,.442,.334,.805,29.5,13.0,4.4,1.6,42.3,.076,-1.3,4.5
6,6,MIL,Yi Jianlian\jianlyi01,,5,272,6038,2148,1339,192,.404,.333,.780,22.2,7.9,4.9,0.7,3.1,.025,-4.3,-3.5
7,7,MIN,Corey Brewer\breweco01,Florida,13,819,18771,7097,2287,1250,.425,.284,.713,22.9,8.7,2.8,1.5,22.5,.058,-1.6,2.0
8,8,CHA,Brandan Wright\wrighbr03,UNC,10,428,6949,2976,1560,199,.607,.000,.674,16.2,7.0,3.6,0.5,26.2,.181,2.3,7.5
9,9,CHI,Joakim Noah\noahjo01,Florida,13,672,18646,5881,6058,1907,.491,.000,.700,27.7,8.8,9.0,2.8,61.9,.159,2.5,20.9
10,10,SAC,Spencer Hawes\hawessp01,Washington,10,684,15541,5932,3893,1271,.457,.350,.716,22.7,8.7,5.7,1.9,22.6,.070,-1.1,3.4
11,11,ATL,Acie Law\lawac01,Texas A&M,4,188,2385,725,195,309,.413,.235,.778,12.7,3.9,1.0,1.6,1.6,.032,-3.9,-1.1
12,12,PHI,Thaddeus Young\youngth01,Georgia Tech,13,965,29281,12703,5714,1607,.498,.333,.670,30.3,13.2,5.9,1.7,61.6,.101,0.3,16.9
13,13,NOK,Julian Wright\wrighju01,Kansas,4,231,3049,907,531,182,.499,.262,.584,13.2,3.9,2.3,0.8,3.9,.061,-0.5,1.2
14,14,LAC,Al Thornton\thornal01,Florida State,4,296,8274,3527,1233,353,.452,.293,.747,28.0,11.9,4.2,1.2,6.1,.035,-3.5,-3.2
15,15,DET,Rodney Stuckey\stuckro01,Eastern Washington,10,651,17890,8185,1912,2333,.423,.300,.824,27.5,12.6,2.9,3.6,28.7,.077,-0.9,4.9
16,16,WAS,Nick Young\youngni01,USC,12,720,16419,8194,1427,687,.418,.376,.836,22.8,11.4,2.0,1.0,18.6,.054,-2.2,-0.8
17,17,NJN,Sean Williams\willise01,Boston College,4,137,1978,581,472,47,.511,.000,.624,14.4,4.2,3.4,0.3,3.0,.073,-3.1,-0.6
18,18,GSW,Marco Belinelli\belinma01,,13,860,19548,8370,1769,1429,.424,.376,.846,22.7,9.7,2.1,1.7,30.5,.075,-1.3,3.3
19,19,LAL,Javaris Crittenton\crittja01,Georgia Tech,2,113,1853,595,276,201,.442,.231,.638,16.4,5.3,2.4,1.8,0.1,.002,-4.2,-1.0
20,20,MIA,Jason Smith\smithja02,Colorado State,11,616,10029,3777,2075,453,.468,.333,.783,16.3,6.1,3.4,0.7,14.1,.067,-2.9,-2.4
21,21,PHI,Daequan Cook\cookda02,Ohio State,6,328,5993,2114,703,243,.369,.359,.813,18.3,6.4,2.1,0.7,4.9,.039,-2.7,-1.1
22,22,CHA,Jared Dudley\dudleja01,Boston College,13,892,20036,6627,2828,1389,.464,.393,.732,22.5,7.4,3.2,1.6,42.9,.103,0.2,11.1
23,23,NYK,Wilson Chandler\chandwi01,DePaul,12,676,20287,8463,3574,1205,.443,.341,.770,30.0,12.5,5.3,1.8,29.0,.069,-1.3,3.5
24,24,PHO,Rudy Fernández\fernaru01,,4,249,5965,2254,608,554,.399,.360,.840,24.0,9.1,2.4,2.2,14.2,.114,1.7,5.6
25,25,UTA,Morris Almond\almonmo01,Rice University,3,38,361,119,46,12,.381,.292,.743,9.5,3.1,1.2,0.3,0.0,.005,-6.1,-0.4
26,26,HOU,Aaron Brooks\brookaa01,Oregon,10,645,13439,6259,1079,1925,.413,.370,.837,20.8,9.7,1.7,3.0,19.2,.069,-1.2,2.7
27,27,DET,Arron Afflalo\afflaar01,UCLA,11,762,20829,8198,2176,1386,.450,.386,.825,27.3,10.8,2.9,1.8,33.5,.077,-1.5,2.4
28,28,SAS,Tiago Splitter\splitti01,,7,355,6812,2816,1779,423,.555,.143,.697,19.2,7.9,5.0,1.2,25.3,.178,1.1,5.4
29,29,PHO,Alando Tucker\tuckeal02,Wisconsin,3,51,426,211,49,16,.423,.294,.783,8.4,4.1,1.0,0.3,0.4,.045,-4.5,-0.3
30,30,PHI,Petteri Koponen\koponpe01,,,,,,,,,,,,,,,,,,
31,31,SEA,Carl Landry\landrca01,Purdue,9,513,11524,5541,2533,355,.535,.300,.785,22.5,10.8,4.9,0.7,35.9,.149,-0.3,5.0
32,32,BOS,Gabe Pruitt\pruitga01,USC,2,62,461,125,51,52,.321,.283,.783,7.4,2.0,0.8,0.8,0.4,.043,-2.8,-0.1
33,33,SAS,Marcus Williams\willima04,Arizona,2,13,39,14,12,3,.318,,,3.0,1.1,0.9,0.2,-0.1,-.084,-5.4,0.0
34,34,DAL,Nick Fazekas\fazekni01,Nevada,1,26,269,107,89,11,.561,.000,.682,10.3,4.1,3.4,0.4,0.8,.148,0.5,0.2
35,35,SEA,Glen Davis\davisgl01,LSU,8,514,10865,4111,2236,457,.447,.182,.700,21.1,8.0,4.4,0.9,18.6,.082,-2.6,-1.7
36,36,GSW,Jermareo Davidson\davidje01,Alabama,2,52,433,162,96,14,.425,,.578,8.3,3.1,1.8,0.3,0.0,.000,-5.2,-0.3
37,37,POR,Josh McRoberts\mcrobjo01,Duke,11,433,8271,2333,1686,901,.463,.340,.705,19.1,5.4,3.9,2.1,18.5,.107,0.3,4.7
38,38,PHI,Kyrylo Fesenko\fesenky01,,5,135,1107,305,269,40,.496,.000,.410,8.2,2.3,2.0,0.3,0.9,.038,-5.7,-1.1
39,39,MIA,Stanko Barać\baracst01,,,,,,,,,,,,,,,,,,
40,40,LAL,Sun Yue\yuesu01,,1,10,28,6,0,2,.273,.000,,2.8,0.6,0.0,0.2,-0.1,-.226,-19.4,-0.1
41,41,MIN,Chris Richard\richach01,Florida,2,70,780,135,194,25,.483,,.605,11.1,1.9,2.8,0.4,0.7,.045,-5.7,-0.7
42,42,POR,Derrick Byars\byarsde01,Vanderbilt,1,2,37,10,11,1,.273,.000,1.000,18.5,5.0,5.5,0.5,0.1,.147,-4.7,0.0
43,43,NOK,Adam Haluska,Iowa,,,,,,,,,,,,,,,,,
44,44,ORL,Reyshawn Terry,UNC,,,,,,,,,,,,,,,,,
45,45,LAC,Jared Jordan,Marist College,,,,,,,,,,,,,,,,,
46,46,GSW,Stéphane Lasme\lasmest01,UMass,1,16,303,83,53,3,.451,,.594,18.9,5.2,3.3,0.2,0.3,.041,-4.4,-0.2
47,47,WAS,Dominic McGuire\mcguido01,Fresno State,6,342,5348,939,1169,422,.419,.188,.658,15.6,2.7,3.4,1.2,4.1,.037,-2.1,-0.1
48,48,LAL,Marc Gasol\gasolma01,,12,839,27726,12252,6389,2887,.481,.354,.777,33.0,14.6,7.6,3.4,82.5,.143,3.1,35.5
49,49,CHI,Aaron Gray\grayaa01,Pitt,7,318,3851,1066,1190,207,.509,.000,.562,12.1,3.4,3.7,0.7,6.2,.077,-3.6,-1.5
50,50,DAL,Renaldas Seibutis\seibure01,,,,,,,,,,,,,,,,,,
51,51,CHI,JamesOn Curry\curryja01,Oklahoma State,1,1,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0
52,52,POR,Taurean Green\greenta01,Florida,1,17,74,27,10,11,.280,.182,.917,4.4,1.6,0.6,0.6,-0.1,-.066,-7.5,-0.1
53,53,POR,Demetris Nichols\nichode01,Syracuse,2,18,58,22,7,2,.281,.200,.500,3.2,1.2,0.4,0.1,-0.2,-.203,-10.3,-0.1
54,54,HOU,Brad Newley\newlebr01,,,,,,,,,,,,,,,,,,
55,55,UTA,Herbert Hill,Providence,,,,,,,,,,,,,,,,,
56,56,MIL,Ramon Sessions\sessira01,Nevada,11,691,16119,7141,1840,2807,.434,.316,.791,23.3,10.3,2.7,4.1,28.8,.086,-0.7,5.2
57,57,DET,Sammy Mejia,DePaul,,,,,,,,,,,,,,,,,
58,58,SAS,Georgios Printezis\printgi01,,,,,,,,,,,,,,,,,,
59,59,PHO,D.J. Strawberry\strawdj01,Maryland,1,33,270,73,28,30,.315,.240,.474,8.2,2.2,0.8,0.9,-0.2,-.031,-5.6,-0.2
60,60,DAL,Milovan Raković\rakovmi01,,,,,,,,,,,,,,,,,,
