,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton\aytonde01,Arizona,2,109,3419,1849,1165,197,.570,.176,.748,31.4,17.0,10.7,1.8,9.0,.126,0.3,2.0
2,2,SAC,Marvin Bagley\baglema01,Duke,2,75,1901,1108,568,72,.497,.288,.703,25.3,14.8,7.6,1.0,4.0,.100,-1.4,0.3
3,3,ATL,Luka Dončić\doncilu01,,2,133,4365,3285,1136,967,.445,.321,.737,32.8,24.7,8.5,7.3,13.7,.151,6.0,8.8
4,4,MEM,Jaren Jackson\jacksja02,Michigan State,2,115,3137,1788,534,142,.485,.384,.757,27.3,15.5,4.6,1.2,6.8,.104,0.1,1.7
5,5,DAL,Trae Young\youngtr01,Oklahoma,2,141,4623,3327,556,1213,.428,.344,.847,32.8,23.6,3.9,8.6,9.1,.095,1.5,4.0
6,6,ORL,Mohamed Bamba\bambamo01,Texas,2,109,1644,624,535,81,.471,.328,.624,15.1,5.7,4.9,0.7,4.2,.121,-0.4,0.7
7,7,CHI,Wendell Carter\cartewe01,Duke,2,87,2366,939,712,129,.508,.197,.761,27.2,10.8,8.2,1.5,5.2,.105,-2.0,0.0
8,8,CLE,Collin Sexton\sextoco01,Alabama,2,147,4748,2720,440,435,.450,.392,.843,32.3,18.5,3.0,3.0,1.9,.019,-3.4,-1.7
9,9,NYK,Kevin Knox\knoxke01,Kentucky,2,140,3324,1382,519,143,.367,.337,.697,23.7,9.9,3.7,1.0,-1.2,-.017,-5.2,-2.7
10,10,PHI,Mikal Bridges\bridgmi01,Villanova,2,155,4459,1351,556,302,.467,.345,.825,28.8,8.7,3.6,1.9,7.7,.083,-0.5,1.7
11,11,CHO,Shai Gilgeous-Alexander\gilgesh01,Kentucky,2,152,4602,2220,644,502,.473,.354,.804,30.3,14.6,4.2,3.3,9.5,.099,0.7,3.1
12,12,LAC,Miles Bridges\bridgmi02,Michigan State,2,145,3691,1440,685,209,.440,.328,.788,25.5,9.9,4.7,1.4,4.5,.059,-1.7,0.3
13,13,LAC,Jerome Robinson\robinje01,Boston College,2,96,1299,431,170,106,.379,.319,.697,13.5,4.5,1.8,1.1,0.3,.010,-4.1,-0.7
14,14,DEN,Michael Porter\portemi01,Missouri,1,55,903,512,259,46,.509,.422,.833,16.4,9.3,4.7,0.8,2.9,.154,1.5,0.8
15,15,WAS,Troy Brown\browntr01,Oregon,2,121,2512,964,528,258,.432,.335,.758,20.8,8.0,4.4,2.1,3.0,.058,-1.7,0.2
16,16,PHO,Zhaire Smith\smithzh01,Texas Tech,2,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.2
17,17,MIL,Donte DiVincenzo\divindo01,Villanova,2,93,1931,741,383,185,.445,.318,.735,20.8,8.0,4.1,2.0,4.9,.121,0.6,1.3
18,18,SAS,Lonnie Walker\walkelo01,Miami (FL),2,78,1106,434,156,77,.417,.404,.732,14.2,5.6,2.0,1.0,0.4,.016,-3.4,-0.4
19,19,ATL,Kevin Huerter\huertke01,Maryland,2,131,3808,1411,473,427,.416,.383,.783,29.1,10.8,3.6,3.3,3.0,.038,-2.0,0.0
20,20,MIN,Josh Okogie\okogijo01,Georgia Tech,2,136,3304,1103,486,190,.404,.274,.765,24.3,8.1,3.6,1.4,3.4,.050,-2.8,-0.6
21,21,UTA,Grayson Allen\allengr01,Duke,2,76,1134,541,108,77,.429,.371,.800,14.9,7.1,1.4,1.0,1.2,.053,-3.2,-0.3
22,22,CHI,Chandler Hutchison\hutchch01,Boise State,2,72,1422,447,293,60,.458,.295,.595,19.8,6.2,4.1,0.8,1.2,.041,-3.4,-0.5
23,23,IND,Aaron Holiday\holidaa01,UCLA,2,116,2263,921,223,312,.410,.374,.839,19.5,7.9,1.9,2.7,3.0,.064,-1.6,0.2
24,24,POR,Anfernee Simons\simonan01,,2,90,1590,654,165,110,.404,.333,.787,17.7,7.3,1.8,1.2,0.2,.007,-4.6,-1.0
25,25,LAL,Moritz Wagner\wagnemo01,Michigan,2,88,1281,600,304,80,.494,.299,.818,14.6,6.8,3.5,0.9,1.9,.072,-3.0,-0.3
26,26,PHI,Landry Shamet\shamela01,Wichita State,2,132,3254,1214,234,216,.420,.402,.828,24.7,9.2,1.8,1.6,6.2,.091,-1.8,0.2
27,27,BOS,Robert Williams\williro04,Texas A&M,2,61,671,231,209,34,.719,,.633,11.0,3.8,3.4,0.6,3.2,.231,3.7,1.0
28,28,GSW,Jacob Evans\evansja02,Cincinnati,2,59,622,168,66,54,.337,.315,.833,10.5,2.8,1.1,0.9,-0.6,-.047,-7.4,-0.8
29,29,BRK,Džanan Musa\musadz01,,2,49,526,211,91,45,.376,.227,.726,10.7,4.3,1.9,0.9,0.0,.003,-4.6,-0.4
30,30,ATL,Omari Spellman\spellom01,Villanova,2,95,1691,642,413,94,.417,.366,.766,17.8,6.8,4.3,1.0,2.4,.068,-1.5,0.2
31,31,PHO,Élie Okobo\okoboel01,,2,108,1677,523,188,242,.395,.315,.737,15.5,4.8,1.7,2.2,0.5,.014,-4.1,-0.9
32,32,MEM,Jevon Carter\carteje01,West Virginia,2,97,1522,459,184,153,.367,.387,.831,15.7,4.7,1.9,1.6,1.8,.057,-1.1,0.3
33,33,DAL,Jalen Brunson\brunsja01,Villanova,2,130,2613,1144,303,418,.467,.352,.759,20.1,8.8,2.3,3.2,4.7,.086,-1.4,0.4
34,34,ATL,Devonte' Graham\grahade01,Kansas,2,109,2887,1362,275,592,.375,.357,.810,26.5,12.5,2.5,5.4,3.8,.064,-0.6,1.0
35,35,ORL,Melvin Frazier\frazime01,Tulane,2,29,170,55,15,4,.400,.364,.375,5.9,1.9,0.5,0.1,0.0,.008,-5.4,-0.2
36,36,NYK,Mitchell Robinson\robinmi01,,2,127,2772,1075,851,73,.720,,.583,21.8,8.5,6.7,0.6,12.9,.223,2.7,3.3
37,37,SAC,Gary Trent\trentga02,Duke,2,76,1443,581,111,66,.432,.405,.769,19.0,7.6,1.5,0.9,2.3,.075,-1.1,0.3
38,38,PHI,Khyri Thomas\thomakh01,Creighton,2,34,256,78,21,11,.314,.306,.600,7.5,2.3,0.6,0.3,0.0,-.005,-5.7,-0.2
39,39,PHI,Isaac Bonga\bongais01,,2,88,1370,349,247,91,.461,.316,.780,15.6,4.0,2.8,1.0,1.6,.057,-3.0,-0.3
40,40,BRK,Rodions Kurucs\kurucro01,,2,110,1978,749,383,103,.449,.332,.738,18.0,6.8,3.5,0.9,2.4,.058,-2.7,-0.3
41,41,ORL,Jarred Vanderbilt\vandeja01,Kentucky,2,28,115,36,32,5,.519,.000,.667,4.1,1.3,1.1,0.2,0.0,.012,-4.9,-0.1
