,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson\willizi01,Duke,1,24,668,540,150,50,.583,.429,.640,27.8,22.5,6.3,2.1,2.0,.141,2.1,0.7
2,2,MEM,Ja Morant\moranja01,Murray State,1,67,2074,1193,259,488,.477,.335,.776,31.0,17.8,3.9,7.3,3.8,.088,0.3,1.2
3,3,NYK,RJ Barrett\barrerj01,Duke,1,56,1704,803,279,143,.402,.320,.614,30.4,14.3,5.0,2.6,-0.5,-.015,-4.3,-1.0
4,4,LAL,De'Andre Hunter\huntede01,Virginia,1,63,2018,778,286,112,.410,.355,.764,32.0,12.3,4.5,1.8,0.1,.002,-4.7,-1.4
5,5,CLE,Darius Garland\garlada01,Vanderbilt,1,59,1824,728,111,229,.401,.355,.875,30.9,12.3,1.9,3.9,-1.3,-.034,-5.6,-1.7
6,6,PHO,Jarrett Culver\culveja01,Texas Tech,1,63,1506,580,212,110,.404,.299,.462,23.9,9.2,3.4,1.7,-0.1,-.004,-4.0,-0.8
7,7,CHI,Coby White\whiteco01,UNC,1,65,1674,859,230,175,.394,.354,.791,25.8,13.2,3.5,2.7,0.9,.026,-2.8,-0.4
8,8,ATL,Jaxson Hayes\hayesja02,Texas,1,64,1080,472,259,56,.672,.250,.647,16.9,7.4,4.0,0.9,3.9,.171,-0.3,0.5
9,9,WAS,Rui Hachimura\hachiru01,Gonzaga,1,48,1444,649,294,87,.466,.287,.829,30.1,13.5,6.1,1.8,1.8,.060,-3.2,-0.4
10,10,ATL,Cam Reddish\reddica01,Duke,1,58,1551,610,216,87,.384,.332,.802,26.7,10.5,3.7,1.5,-0.4,-.011,-4.2,-0.9
