,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Kyrie Irving\irvinky01,Duke,9,528,17827,11842,1955,3012,.466,.390,.877,33.8,22.4,3.7,5.7,61.3,.165,4.5,29.2
2,2,MIN,Derrick Williams\willide02,Arizona,7,428,8864,3809,1693,293,.434,.300,.710,20.7,8.9,4.0,0.7,14.1,.076,-1.6,0.8
3,3,UTA,Enes Kanter\kanteen01,,9,641,13932,7415,4867,546,.543,.287,.776,21.7,11.6,7.6,0.9,44.0,.151,-0.2,6.4
4,4,CLE,Tristan Thompson\thomptr01,Texas,9,619,17372,5839,5393,624,.518,.281,.610,28.1,9.4,8.7,1.0,43.1,.119,-1.6,1.8
5,5,TOR,Jonas Valančiūnas\valanjo01,,8,559,14146,6947,4952,522,.562,.355,.781,25.3,12.4,8.9,0.9,52.3,.177,0.8,9.9
6,6,WAS,Jan Veselý\veselja01,,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-2.6,-0.4
7,7,SAC,Bismack Biyombo\biyombi01,,9,636,12864,3273,3968,338,.520,.000,.575,20.2,5.1,6.2,0.5,25.3,.095,-2.6,-1.9
8,8,DET,Brandon Knight\knighbr03,Kentucky,8,446,13137,6269,1377,1769,.411,.353,.806,29.5,14.1,3.1,4.0,11.5,.042,-1.6,1.5
9,9,CHA,Kemba Walker\walkeke02,UConn,9,661,22349,13154,2534,3576,.419,.360,.837,33.8,19.9,3.8,5.4,54.4,.117,2.9,27.8
10,10,MIL,Jimmer Fredette\fredeji01,BYU,6,241,3213,1438,243,331,.409,.372,.879,13.3,6.0,1.0,1.4,2.2,.033,-2.5,-0.4
11,11,GSW,Klay Thompson\thompkl01,Washington State,8,615,20340,11995,2130,1416,.459,.419,.848,33.1,19.5,3.5,2.3,46.8,.110,0.7,14.2
12,12,UTA,Alec Burks\burksal01,Colorado,9,495,10806,5082,1586,918,.422,.364,.791,21.8,10.3,3.2,1.9,16.7,.074,-1.1,2.5
13,13,PHO,Markieff Morris\morrima02,Kansas,9,637,16226,7286,3403,1057,.448,.345,.778,25.5,11.4,5.3,1.7,25.2,.074,-1.3,3.0
14,14,HOU,Marcus Morris\morrima03,Kansas,9,607,16390,7326,2825,914,.432,.367,.759,27.0,12.1,4.7,1.5,30.4,.089,-0.5,6.1
15,15,IND,Kawhi Leonard\leonaka01,San Diego State,9,524,16252,9793,3352,1403,.491,.383,.855,31.0,18.7,6.4,2.7,74.5,.220,6.8,36.2
16,16,PHI,Nikola Vučević\vucevni01,USC,9,598,18103,9626,6110,1532,.499,.335,.746,30.3,16.1,10.2,2.6,48.1,.127,2.0,18.2
17,17,NYK,Iman Shumpert\shumpim01,Georgia Tech,9,459,11459,3318,1533,845,.392,.338,.764,25.0,7.2,3.3,1.8,12.9,.054,-1.7,0.9
18,18,WAS,Chris Singleton\singlch01,Florida State,3,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042,-3.2,-0.8
19,19,CHA,Tobias Harris\harrito02,Tennessee,9,618,19061,9846,3745,1256,.471,.365,.820,30.8,15.9,6.1,2.0,45.7,.115,0.9,14.1
20,20,MIN,Donatas Motiejūnas\motiedo01,,6,251,4566,1832,952,269,.469,.300,.597,18.2,7.3,3.8,1.1,7.1,.075,-2.5,-0.5
21,21,POR,Nolan Smith\smithno01,Duke,2,84,829,277,83,97,.371,.260,.714,9.9,3.3,1.0,1.2,-0.8,-.047,-6.0,-0.8
22,22,DEN,Kenneth Faried\farieke01,Morehead State University,8,478,11728,5430,3884,470,.546,.222,.654,24.5,11.4,8.1,1.0,38.8,.159,0.5,7.5
23,23,HOU,Nikola Mirotić\mirotni01,,5,319,7718,3910,1894,407,.423,.359,.808,24.2,12.3,5.9,1.3,20.8,.129,1.6,7.1
24,24,OKC,Reggie Jackson\jacksre01,Boston College,9,561,14120,7205,1659,2456,.428,.337,.858,25.2,12.8,3.0,4.4,29.4,.100,0.4,8.7
25,25,BOS,MarShon Brooks\brookma01,Providence,5,200,3456,1592,424,282,.447,.345,.751,17.3,8.0,2.1,1.4,3.3,.046,-1.6,0.4
26,26,DAL,Jordan Hamilton\hamiljo02,Texas,5,151,2100,890,429,127,.408,.357,.670,13.9,5.9,2.8,0.8,3.0,.069,-0.1,1.0
27,27,NJN,JaJuan Johnson\johnsja02,Purdue,1,36,298,114,58,6,.446,,.667,8.3,3.2,1.6,0.2,0.2,.032,-3.9,-0.1
28,28,CHI,Norris Cole\coleno01,Cleveland State University,6,360,8018,2506,702,981,.407,.324,.743,22.3,7.0,2.0,2.7,3.0,.018,-4.1,-4.1
29,29,SAS,Cory Joseph\josepco01,Texas,9,600,13115,4123,1551,1736,.441,.332,.769,21.9,6.9,2.6,2.9,24.1,.088,-0.9,3.8
30,30,CHI,Jimmy Butler\butleji01,Marquette,9,581,19188,9887,2963,2155,.454,.333,.835,33.0,17.0,5.1,3.7,75.1,.188,4.2,30.0
31,31,MIA,Bojan Bogdanović\bogdabo02,,6,462,13172,6570,1607,689,.460,.394,.858,28.5,14.2,3.5,1.5,22.5,.082,-1.1,2.9
32,32,CLE,Justin Harper\harpeju01,Richmond,3,22,150,45,18,4,.340,.276,.333,6.8,2.0,0.8,0.2,-0.3,-.093,-8.7,-0.2
33,33,DET,Kyle Singler\singlky01,Duke,6,356,7794,2326,1026,272,.418,.362,.786,21.9,6.5,2.9,0.8,10.0,.062,-2.5,-0.9
34,34,WAS,Shelvin Mack\macksh01,Butler,8,456,8392,2997,894,1421,.423,.330,.731,18.4,6.6,2.0,3.1,10.3,.059,-1.9,0.1
35,35,SAC,Tyler Honeycutt\honeyty01,UCLA,2,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-.049,-5.1,-0.1
36,36,NJN,Jordan Williams\willijo03,Maryland,1,43,635,197,156,11,.507,,.652,14.8,4.6,3.6,0.3,1.3,.101,-2.1,0.0
37,37,LAC,Trey Thompkins\thomptr02,Georgia,1,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-5.7,-0.1
38,38,HOU,Chandler Parsons\parsoch01,Florida,9,440,13246,5571,1972,1201,.462,.373,.713,30.1,12.7,4.5,2.7,28.9,.105,1.1,10.2
39,39,CHA,Jeremy Tyler\tylerje01,,3,104,1034,373,269,25,.450,.000,.557,9.9,3.6,2.6,0.2,0.3,.014,-7.0,-1.3
40,40,MIL,Jon Leuer\leuerjo01,Wisconsin,8,377,5945,2395,1426,301,.484,.328,.767,15.8,6.4,3.8,0.8,13.2,.107,-0.7,2.0
41,41,LAL,Darius Morris\morrida01,Michigan,4,132,1464,430,126,189,.384,.322,.630,11.1,3.3,1.0,1.4,-0.3,-.010,-5.1,-1.2
42,42,IND,Dāvis Bertāns\bertada01,,4,274,5109,2199,760,312,.441,.411,.849,18.6,8.0,2.8,1.1,12.9,.121,1.2,4.2
43,43,CHI,Malcolm Lee\leema01,UCLA,3,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040,-2.5,-0.1
44,44,GSW,Charles Jenkins\jenkich01,Hofstra,2,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017,-4.5,-0.8
45,45,NOH,Josh Harrellson\harrejo01,Kentucky,3,75,888,265,227,26,.438,.347,.629,11.8,3.5,3.0,0.3,2.1,.116,-0.4,0.4
46,46,LAL,Andrew Goudelock\goudean01,College of Charleston,3,49,475,197,34,24,.393,.345,.875,9.7,4.0,0.7,0.5,0.0,.003,-5.0,-0.3
47,47,LAC,Travis Leslie\leslitr01,Georgia,1,10,45,14,9,5,.357,,.444,4.5,1.4,0.9,0.5,0.1,.060,-0.3,0.0
48,48,ATL,Keith Benson\bensoke02,Oakland,1,3,9,0,3,0,.000,,,3.0,0.0,1.0,0.0,0.0,-.005,-7.7,0.0
49,49,MEM,Josh Selby\selbyjo01,Kansas,2,38,296,83,20,34,.330,.143,.720,7.8,2.2,0.5,0.9,-0.7,-.113,-9.5,-0.6
50,50,PHI,Lavoy Allen\allenla01,Temple,6,388,6905,1847,1843,384,.471,.133,.682,17.8,4.8,4.8,1.0,13.8,.096,-2.1,-0.1
51,51,POR,Jon Diebler\diebljo01,Ohio State,,,,,,,,,,,,,,,,,
52,52,DET,Vernon Macklin\macklve01,Florida,1,23,135,46,34,5,.543,,.571,5.9,2.0,1.5,0.2,0.5,.161,1.2,0.1
53,53,ORL,DeAndre Liggins\liggide01,Kentucky,5,177,1907,346,252,122,.402,.352,.549,10.8,2.0,1.4,0.7,1.6,.040,-2.2,-0.1
54,54,CLE,Milan Mačvan\macvami01,,,,,,,,,,,,,,,,,,
55,55,BOS,E'Twaun Moore\mooreet01,Purdue,9,571,12175,4610,1163,1015,.455,.390,.738,21.3,8.1,2.0,1.8,14.4,.057,-1.9,0.3
56,56,LAL,Chukwudiebere Maduabum\maduach01,,,,,,,,,,,,,,,,,,
57,57,DAL,Targuy Ngombo,,,,,,,,,,,,,,,,,,
58,58,LAL,Ater Majok\majokat01,,,,,,,,,,,,,,,,,,
59,59,SAS,Ádám Hanga\hangaad01,,,,,,,,,,,,,,,,,,
60,60,SAC,Isaiah Thomas\thomais02,Washington,9,525,15182,9508,1288,2599,.436,.364,.872,28.9,18.1,2.5,5.0,45.3,.143,2.3,16.5
