,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons\simmobe01,LSU,3,217,7449,3553,1800,1726,.560,.083,.593,34.3,16.4,8.3,8.0,24.4,.157,3.9,11.2
2,2,LAL,Brandon Ingram\ingrabr01,Duke,4,252,8118,4116,1277,809,.459,.360,.722,32.2,16.3,5.1,3.2,9.6,.057,-1.4,1.1
3,3,BOS,Jaylen Brown\brownja02,California,4,279,7340,3655,1243,396,.468,.371,.678,26.3,13.1,4.5,1.4,13.9,.091,-1.2,1.6
4,4,PHO,Dragan Bender\bendedr01,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-4.0,-1.9
5,5,MIN,Kris Dunn\dunnkr01,Providence,4,227,5516,1884,760,948,.422,.306,.726,24.3,8.3,3.3,4.2,3.9,.034,-1.8,0.2
6,6,NOP,Buddy Hield\hieldbu01,Oklahoma,4,316,8743,5022,1316,694,.441,.411,.866,27.7,15.9,4.2,2.2,13.0,.071,0.7,5.9
7,7,DEN,Jamal Murray\murraja01,Kentucky,4,297,8680,4621,1064,1091,.439,.358,.880,29.2,15.6,3.6,3.7,16.2,.090,-0.1,4.3
8,8,SAC,Marquese Chriss\chrisma01,Washington,4,256,4965,2039,1250,279,.456,.290,.669,19.4,8.0,4.9,1.1,5.7,.055,-2.3,-0.3
9,9,TOR,Jakob Pöltl\poeltja01,Utah,4,279,4594,1527,1343,278,.638,.500,.536,16.5,5.5,4.8,1.0,16.3,.170,0.9,3.4
10,10,MIL,Thon Maker\makerth01,,4,255,3548,1186,708,157,.433,.329,.673,13.9,4.7,2.8,0.6,6.3,.086,-2.2,-0.2
11,11,ORL,Domantas Sabonis\sabondo01,Gonzaga,4,291,7439,3530,2321,755,.522,.321,.722,25.6,12.1,8.0,2.6,20.6,.133,0.5,4.6
12,12,UTA,Taurean Waller-Prince\princta02,Baylor,4,260,6854,3008,1126,503,.412,.366,.818,26.4,11.6,4.3,1.9,5.1,.036,-1.9,0.2
13,13,PHO,Georgios Papagiannis\papagge01,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2
14,14,CHI,Denzel Valentine\valende01,Michigan State,3,170,3559,1320,618,350,.401,.366,.753,20.9,7.8,3.6,2.1,3.6,.048,-1.6,0.4
15,15,DEN,Juan Hernangómez\hernaju01,,4,205,3310,1083,703,136,.428,.359,.722,16.1,5.3,3.4,0.7,6.1,.088,-1.6,0.3
16,16,BOS,Guerschon Yabusele\yabusgu01,,2,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.105,-1.9,0.0
17,17,MEM,Wade Baldwin\baldwwa01,Vanderbilt,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5
18,18,DET,Henry Ellenson\ellenhe01,Marquette,4,81,749,327,194,44,.372,.343,.774,9.2,4.0,2.4,0.5,0.3,.018,-3.8,-0.3
19,19,DEN,Malik Beasley\beaslma01,Florida State,4,220,3836,1811,436,214,.448,.388,.800,17.4,8.2,2.0,1.0,6.3,.078,-1.2,0.8
20,20,IND,Caris LeVert\leverca01,Michigan,4,213,5494,2715,788,764,.433,.339,.708,25.8,12.7,3.7,3.6,7.3,.064,-0.5,2.0
21,21,ATL,DeAndre' Bembry\bembrde01,Saint Joseph's,4,189,3672,1173,641,360,.448,.269,.592,19.4,6.2,3.4,1.9,1.0,.013,-2.8,-0.8
22,22,CHO,Malachi Richardson\richama01,Syracuse,3,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-.009,-6.1,-0.7
23,23,BOS,Ante Žižić\zizican01,,3,113,1517,674,446,64,.581,,.711,13.4,6.0,3.9,0.6,3.5,.110,-2.6,-0.2
24,24,PHI,Timothé Luwawu-Cabarrot\luwawti01,,4,218,3519,1340,445,184,.398,.338,.828,16.1,6.1,2.0,0.8,3.5,.048,-4.0,-1.8
25,25,LAC,Brice Johnson\johnsbr02,UNC,2,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0
26,26,PHI,Furkan Korkmaz\korkmfu01,,3,134,2318,1006,286,135,.416,.377,.767,17.3,7.5,2.1,1.0,3.9,.080,-1.7,0.2
27,27,TOR,Pascal Siakam\siakapa01,New Mexico State,4,276,7196,3543,1537,631,.500,.334,.764,26.1,12.8,5.6,2.3,20.9,.140,1.4,6.2
28,28,PHO,Skal Labissière\labissk01,Kentucky,4,148,2595,1069,662,152,.492,.353,.748,17.5,7.2,4.5,1.0,4.4,.081,-2.3,-0.2
29,29,SAS,Dejounte Murray\murrade01,Washington,3,185,3752,1504,884,550,.451,.351,.743,20.3,8.1,4.8,3.0,5.8,.074,0.0,1.9
30,30,GSW,Damian Jones\jonesda03,Vanderbilt,4,104,1471,480,318,65,.666,.222,.676,14.1,4.6,3.1,0.6,4.4,.143,-1.6,0.2
31,31,BOS,Deyonta Davis\davisde01,Michigan State,3,107,1299,454,346,47,.599,.000,.635,12.1,4.2,3.2,0.4,3.6,.131,-2.1,0.0
32,32,LAL,Ivica Zubac\zubaciv01,,4,212,3385,1566,1187,200,.565,.000,.755,16.0,7.4,5.6,0.9,12.0,.170,0.4,2.0
33,33,LAC,Cheick Diallo\diallch01,Kansas,4,180,2155,947,747,78,.598,.286,.772,12.0,5.3,4.2,0.4,6.3,.140,-1.3,0.4
34,34,PHO,Tyler Ulis\ulisty01,Kentucky,3,133,2782,998,223,537,.403,.280,.808,20.9,7.5,1.7,4.0,0.5,.008,-3.6,-1.1
35,35,BOS,Rade Zagorac\zagorra01,,,,,,,,,,,,,,,,,,
36,36,MIL,Malcolm Brogdon\brogdma01,Virginia,4,241,6916,3286,919,1055,.471,.385,.894,28.7,13.6,3.8,4.4,17.3,.120,0.7,4.6
37,37,HOU,Chinanu Onuaku\onuakch01,Louisville,2,6,74,18,14,4,.583,,1.000,12.3,3.0,2.3,0.7,0.1,.043,-5.4,-0.1
38,38,MIL,Patrick McCaw\mccawpa01,UNLV,4,194,3340,755,316,266,.419,.305,.779,17.2,3.9,1.6,1.4,4.2,.061,-2.8,-0.7
39,39,NOP,David Michineau\michida01,,,,,,,,,,,,,,,,,,
40,40,NOP,Diamond Stone\stonedi01,Maryland,1,7,24,10,6,0,.231,,1.000,3.4,1.4,0.9,0.0,-0.1,-.211,-20.8,-0.1
41,41,ORL,Stephen Zimmerman\zimmest01,UNLV,1,19,108,23,35,4,.323,,.600,5.7,1.2,1.8,0.2,0.0,-.005,-8.3,-0.2
42,42,UTA,Isaiah Whitehead\whiteis01,Seton Hall,2,89,1823,643,210,212,.411,.305,.788,20.5,7.2,2.4,2.4,-0.9,-.025,-5.0,-1.4
43,43,HOU,Zhou Qi\qizh01,,2,19,125,24,22,2,.212,.105,.667,6.6,1.3,1.2,0.1,-0.2,-.093,-9.6,-0.2
44,44,ATL,Isaïa Cordinier\cordiis01,,,,,,,,,,,,,,,,,,
45,45,BOS,Demetrius Jackson\jacksde01,Notre Dame,3,26,136,48,19,17,.486,.286,.667,5.2,1.8,0.7,0.7,0.2,.087,-0.5,0.1
