,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CHI,Derrick Rose\rosede01,Memphis,11,596,19402,11185,2031,3334,.456,.304,.827,32.6,18.8,3.4,5.6,39.7,.098,1.3,16.5
2,2,MIA,Michael Beasley\beaslmi01,Kansas State,11,609,13903,7568,2861,788,.465,.349,.759,22.8,12.4,4.7,1.3,15.6,.054,-1.7,0.9
3,3,MIN,O.J. Mayo\mayooj01,USC,8,547,16919,7574,1706,1607,.429,.373,.820,30.9,13.8,3.1,2.9,21.8,.062,-0.9,4.7
4,4,SEA,Russell Westbrook\westbru01,UCLA,12,878,30379,20412,6211,7298,.437,.305,.799,34.6,23.2,7.1,8.3,101.1,.160,4.8,52.1
5,5,MEM,Kevin Love\loveke01,UCLA,12,713,22803,12993,7944,1697,.442,.370,.828,32.0,18.2,11.1,2.4,82.0,.173,3.4,31.0
6,6,NYK,Danilo Gallinari\gallida01,,11,611,18886,9880,2991,1237,.427,.380,.873,30.9,16.2,4.9,2.0,56.7,.144,2.0,19.1
7,7,LAC,Eric Gordon\gordoer01,Indiana,12,665,21799,11017,1640,1896,.425,.370,.811,32.8,16.6,2.5,2.9,34.1,.075,-0.4,8.6
8,8,MIL,Joe Alexander\alexajo01,West Virginia,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.6,-0.3
9,9,CHA,D.J. Augustin\augusdj01,Texas,12,864,20839,8527,1643,3466,.412,.379,.865,24.1,9.9,1.9,4.0,44.8,.103,-0.5,8.0
10,10,NJN,Brook Lopez\lopezbr01,Stanford,12,785,23992,13227,5007,1190,.494,.341,.793,30.6,16.8,6.4,1.5,65.6,.131,1.4,20.7
11,11,IND,Jerryd Bayless\bayleje01,Arizona,11,586,12486,4909,1235,1674,.411,.361,.818,21.3,8.4,2.1,2.9,18.6,.072,-1.6,1.1
12,12,SAC,Jason Thompson\thompja02,Rider University,8,588,14819,5210,3880,635,.496,.143,.657,25.2,8.9,6.6,1.1,23.8,.077,-2.6,-2.4
13,13,POR,Brandon Rush\rushbr01,Kansas,9,481,10564,3250,1413,468,.426,.402,.706,22.0,6.8,2.9,1.0,11.2,.051,-1.4,1.6
14,14,GSW,Anthony Randolph\randoan01,LSU,6,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-1.6,0.4
15,15,PHO,Robin Lopez\lopezro01,Stanford,12,832,18607,7300,4206,687,.529,.295,.749,22.4,8.8,5.1,0.8,44.5,.115,-1.0,4.6
16,16,PHI,Marreese Speights\speigma01,Florida,10,705,10640,5592,2875,461,.459,.356,.797,15.1,7.9,4.1,0.7,25.8,.116,-2.2,-0.6
17,17,TOR,Roy Hibbert\hibbero01,Georgetown,9,662,16389,6611,4173,885,.465,.250,.755,24.8,10.0,6.3,1.3,35.9,.105,-1.1,3.5
18,18,WAS,JaVale McGee\mcgeeja01,Nevada,12,701,12132,5519,3609,277,.575,.152,.592,17.3,7.9,5.1,0.4,36.6,.145,0.2,6.6
19,19,CLE,J.J. Hickson\hicksjj01,NC State,8,534,11925,5081,3639,449,.505,.000,.617,22.3,9.5,6.8,0.8,21.9,.088,-1.8,0.5
20,20,CHA,Alexis Ajinça\ajincal01,,7,293,3905,1553,1150,143,.503,.286,.797,13.3,5.3,3.9,0.5,7.5,.093,-2.8,-0.8
21,21,NJN,Ryan Anderson\anderry01,California,12,649,16769,8001,3413,586,.422,.380,.854,25.8,12.3,5.3,0.9,46.7,.134,1.0,12.8
22,22,ORL,Courtney Lee\leeco01,Western Kentucky,12,811,21938,7765,2127,1353,.451,.388,.853,27.1,9.6,2.6,1.7,39.3,.086,-0.6,7.9
23,23,UTA,Kosta Koufos\koufoko01,Ohio State,11,686,11271,3913,3452,359,.534,.000,.582,16.4,5.7,5.0,0.5,28.3,.120,-1.3,2.0
24,24,SEA,Serge Ibaka\ibakase01,,11,808,23109,10143,5944,622,.514,.360,.758,28.6,12.6,7.4,0.8,67.8,.141,0.5,14.9
25,25,HOU,Nicolas Batum\batumni01,,12,789,24733,9118,4137,2967,.434,.357,.841,31.3,11.6,5.2,3.8,54.7,.106,1.6,22.6
26,26,SAS,George Hill\hillge01,IUPUI,12,785,21742,8718,2430,2504,.457,.384,.803,27.7,11.1,3.1,3.2,65.4,.144,1.5,19.0
27,27,NOH,Darrell Arthur\arthuda01,Kansas,9,503,8945,3282,1768,409,.444,.352,.765,17.8,6.5,3.5,0.8,12.3,.066,-2.2,-0.4
