,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns\townska01,Kentucky,5,358,12307,8113,4209,992,.534,.396,.831,34.4,22.7,11.8,2.8,50.4,.197,4.8,21.1
2,2,LAL,D'Angelo Russell\russeda01,Ohio State,5,317,9204,5532,1176,1666,.420,.356,.772,29.0,17.5,3.7,5.3,8.4,.044,0.3,5.5
3,3,PHI,Jahlil Okafor\okafoja01,Duke,5,220,4480,2421,1103,212,.538,.222,.675,20.4,11.0,5.0,1.0,6.6,.070,-1.9,0.1
4,4,NYK,Kristaps Porziņģis\porzikr01,,4,243,7578,4476,1857,350,.434,.358,.803,31.2,18.4,7.6,1.4,17.3,.109,1.2,6.0
5,5,ORL,Mario Hezonja\hezonma01,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein\caulewi01,Kentucky,5,349,8187,3361,2194,553,.539,.211,.611,23.5,9.6,6.3,1.6,20.3,.119,0.1,4.3
7,7,DEN,Emmanuel Mudiay\mudiaem01,,5,300,7176,3296,884,1139,.401,.323,.744,23.9,11.0,2.9,3.8,-0.2,-.001,-3.2,-2.2
8,8,DET,Stanley Johnson\johnsst04,Arizona,5,310,6310,2045,1001,443,.374,.293,.755,20.4,6.6,3.2,1.4,3.4,.026,-2.9,-1.4
9,9,CHO,Frank Kaminsky\kaminfr01,Wisconsin,5,321,7029,3136,1298,527,.422,.347,.750,21.9,9.8,4.0,1.6,12.4,.085,-0.6,2.5
